"시점","사용액","시도","광역","체감BSI","대형소매점판매지수","소비자물가지수","동행종합지수","총인구수","인구밀도","사업체수","인구대비업체수","소비자심리지수"
"2020.05",29800,"대전","대전","86.7",107.4,99.54,99,1471915,2727.28367611636,84984,0.0577370296518481,81.8
"2020.06",952222.19,"대전","대전","88.5",94.1,99.86,99.9,1471040,2725.66240503984,84984,0.0577713726343267,85.3
"2020.07",1981077.58,"대전","대전","61.9",85.5,99.74,99.8,1470225,2724.15230683713,85361,0.0580598207757316,85.7
"2020.08",1295473.49,"대전","대전","70.2",95.4,100.26,101.4,1469431,2722.68111914026,85361,0.0580911931216913,89.5
"2020.09",891068.32,"대전","대전","48.2",108.8,100.53,101.5,1469099,2722.0659625718,85361,0.0581043210838752,82.8
"2020.10",766801.13,"대전","대전","79.7",108.1,99.95,101.9,1467556,2719.20696683343,73054,0.0497793610601572,94
"2020.11",1751531.98,"대전","대전","84.2",110.9,100,102.7,1465893,2716.12562534741,73054,0.049835833856905,98.9
"2020.12",1132059.81,"대전","대전","49.5",106.4,100.38,103.1,1463882,2712.39948119326,73054,0.0499042955648065,92.3
"2021.01",1418867.1,"대전","대전","36.0",103.7,101.05,102.4,1463291,2711.30442838614,67633,0.0462197881351009,94.6
"2021.02",1561790.46,"대전","대전","47.7",101.9,101.53,101.5,1462064,2709.03094311655,67633,0.0462585769159216,97.1
"2021.03",1521902.4,"대전","대전","63.1",109.6,101.9,100.6,1458463,2702.35871780619,67633,0.0463727910821186,98.7
"2021.04",1393228.73,"대전","대전","48.6",100.2,102.09,100.1,1457619,2700.7948860478,66946,0.0459283255775343,101.5
"2021.05",2025671.19,"대전","대전","50.0",108.5,102.13,99.7,1457161,2699.94626644432,66946,0.0459427613009132,102.9
"2021.06",1752826.99,"대전","대전","57.7",99.4,102.19,100,1456107,2697.99332962757,66946,0.0459760168723864,110.2
"2021.07",1654139.07,"대전","대전","32.4",97.4,102.4,100.1,1455300,2696.49805447471,69583,0.0478135092420807,103.8
"2021.08",1510316.41,"대전","대전","32.0",116.4,102.7,99.8,1454679,2695.34741523068,69583,0.0478339207481513,100.8
"2021.09",1638692.19,"대전","대전","49.5",145.2,103.08,98.8,1455058,2696.04965721697,69583,0.0478214614125348,104
"2021.10",1655829.22,"대전","대전","66.7",145.4,103.23,98.6,1454228,2694.51176579581,67884,0.0466804380055947,106.7
"2021.11",2780132.97,"대전","대전","64.0",138.4,103.71,98.6,1453675,2693.48712247545,67884,0.0466981959516398,104.6
"2021.12",1936660.74,"대전","대전","38.3",143.9,103.97,99.6,1452251,2690.84861960348,67884,0.0467439857159678,101.8
"2022.01",1717983.43,"대전","대전","43.2",145.8,104.55,100.1,1451272,2689.03464887901,70641,0.0486752311076077,102.1
"2022.02",1606764.11,"대전","대전","39.1",112.7,105.24,99.7,1450862,2688.27496757458,70641,0.0486889862716096,101.4
"2022.03",1886130.12,"대전","대전","49.1",128.8,106.12,98.9,1450057,2686.78339818418,70641,0.0487160159910955,98.9
"2022.04",1940774.58,"대전","대전","75.0",129.3,106.73,98.6,1449360,2685.49193996665,73036,0.0503918971132086,104.7
"2022.05",2305778.4,"대전","대전","75.0",132.2,107.42,99.1,1448933,2684.7007596813,73036,0.0504067475859822,103.4
"2022.06",2066337.46,"대전","대전","63.6",135.1,108.18,99.1,1448401,2683.71502686678,73036,0.0504252620648563,95
"2022.07",1541709.07,"대전","대전","56.8",134.1,108.43,99.6,1448182,2683.30924587734,75145,0.051889196247433,87.3
"2022.08",852516.77,"대전","대전","50.5",132.7,108.26,99.6,1448240,2683.4167129887,75145,0.0518871181572115,90
"2022.09",704284.95,"대전","대전","75.9",144.8,108.54,99.9,1446602,2680.38169353344,75145,0.0519458703914415,90
"2022.10",629944.44,"대전","대전","61.4",146.7,108.89,99.2,1446863,2680.86529553456,77392,0.0534895149022402,86.6
"2022.11",563614.58,"대전","대전","52.3",139.3,108.82,98.8,1446749,2680.6540670743,77392,0.0534937297347363,87
"2022.12",556325.75,"대전","대전","58.6",152.7,109.02,98.8,1446072,2679.39966648138,77392,0.0535187736156982,88.9
"2020.07",269538672983,"인천","인천","63.2",96,99.75,96,2945565,2760.60449859419,124521,0.0422740628707905,87
"2020.08",262469573477,"인천","인천","65.4",101.9,100.24,96.3,2943491,2758.66073102156,124521,0.0423038494087463,91
"2020.09",271712963465,"인천","인천","63.6",115.7,100.81,97.2,2942553,2757.78163074039,124521,0.0423173346410413,78.8
"2020.10",279963860085,"인천","인천","79.6",100.5,100.22,97.8,2942233,2757.48172446111,118458,0.0402612573511343,93.1
"2020.11",266861802742,"인천","인천","76.4",101.1,100.06,98.2,2942307,2757.55107778819,118458,0.0402602447671164,100.1
"2020.12",258268491960,"인천","인천","52.9",109.2,100.34,97.7,2942828,2758.03936269916,118458,0.040253117069703,88
"2021.01",266399863843,"인천","인천","38.6",108.1,101.03,98,2942452,2757.68697282099,106707,0.0362646527453974,91.8
"2021.02",276475968966,"인천","인천","47.5",104.4,101.65,98.8,2941705,2756.98687910028,106707,0.0362738615870728,95.1
"2021.03",310424146413,"인천","인천","60.4",103,101.83,99.2,2936461,2752.07216494845,106707,0.0363386402884288,101.5
"2021.04",316748801629,"인천","인천","59.6",102.5,102.02,99.7,2936214,2751.84067478913,102280,0.0348339732730652,102.8
"2021.05",332964077958,"인천","인천","63.2",110.6,102.08,99.8,2936382,2751.99812558575,102280,0.0348319803077392,106.4
"2021.06",325241379945,"인천","인천","51.4",97,102.11,100.4,2936367,2751.98406747891,102280,0.0348321582418002,109.4
"2021.07",331071181183,"인천","인천","26.1",104.9,102.36,100.6,2937440,2752.98969072165,107679,0.036657429598562,100.6
"2021.08",327210078497,"인천","인천","25.4",101.6,102.94,101,2938429,2753.91658856607,107679,0.0366450916459101,101
"2021.09",370942612072,"인천","인천","55.7",114.3,103.41,101.2,2941795,2757.07122774133,107679,0.0366031623549568,104.7
"2021.10",349580518008,"인천","인천","63.2",108.8,103.56,101.7,2945009,2760.08341143393,105253,0.0357394493531259,106.9
"2021.11",421172562505,"인천","인천","66.1",98.7,104.06,101.6,2946319,2761.31115276476,105253,0.0357235587864043,107
"2021.12",439361257103,"인천","인천","37.9",107.1,104.38,102.1,2948375,2763.23805060918,105253,0.0356986475600967,103.9
"2022.01",491187999967,"인천","인천","41.3",114.8,104.99,101.9,2949150,2763.96438612933,110782,0.0375640438770493,103.4
"2022.02",378811192987,"인천","인천","37.1",88,105.64,101.8,2950978,2765.67760074977,110782,0.0375407746177708,107.6
"2022.03",430460151206,"인천","인천","51.7",103.5,106.29,102.2,2952699,2767.29053420806,110782,0.0375188937307866,104.4
